"Analysis"	"Identifier_1"	"Treat"	"Code"	"Time"	"Peak"	"Rt"	"Ampl__44"	"Ampl__45"	"Ampl__46"	"BGD_44"	"BGD_45"	"BGD_46"	"AT%13C/12C"	"relative_concentration"
"67"	36645	"BV20_09_16"	"AX"	"AX5"	2	"C14:0"	647	131	1209	182	19.6	19	36.7	8.099	123.7363363
"68"	36645	"BV20_09_16"	"AX"	"AX5"	2	"C16:0"	890	869	12679	1228	15.3	15.5	32.1	12.064	983.9262913
"69"	36645	"BV20_09_16"	"AX"	"AX5"	2	"C16:1w7"	926	429	8045	612	25.3	139.3	46.1	15.198	484.4563994
"70"	36645	"BV20_09_16"	"AX"	"AX5"	2	"C19:0"	1442	2019	2328	2775	19.3	29.8	37	1.093	2030.904222
"71"	36645	"BV20_09_16"	"AX"	"AX5"	2	"C18:3w6_3"	1481	81	227	112	19.3	29.8	37	2.055	63.89722523
"72"	36647	"BV20_09_40"	"AX"	"AX5"	4	"C14:0"	645	314	4489	440	21.3	31.4	39.2	12.073	338.4796036
"73"	36647	"BV20_09_40"	"AX"	"AX5"	4	"C16:0"	889	1594	30715	2272	17.8	31.2	35.9	15.93	1889.753015
"74"	36647	"BV20_09_40"	"AX"	"AX5"	4	"C16:1w7"	925	1146	29019	1655	32.2	265.8	56.3	19.973	1406.132901
"76"	36647	"BV20_09_40"	"AX"	"AX5"	4	"C16:3w4"	1071	63	150	87	18.1	72.8	36.3	2.083	45.82425225
"77"	36647	"BV20_09_40"	"AX"	"AX5"	4	"C18:0"	1243	118	259	162	15.5	43.2	32.4	3.107	105.0471892
"78"	36647	"BV20_09_40"	"AX"	"AX5"	4	"C19:0"	1442	1952	2279	2682	21.4	51.3	40	1.113	1960.810934
"79"	36647	"BV20_09_40"	"AX"	"AX5"	4	"C18:3w6_3"	1481	81	687	113	21.4	51.3	40	5.254	66.17621922
"80"	36649	"BV20_09_1"	"AX"	"AX1_AX2_AX3_AX5"	0	"C14:0"	646	245	288	335	20.3	17.7	38	1.087	228.2948919
"81"	36649	"BV20_09_1"	"AX"	"AX1_AX2_AX3_AX5"	0	"C16:0"	889	1435	1674	1969	16.1	12.3	33.6	1.088	1441.329012
"82"	36649	"BV20_09_1"	"AX"	"AX1_AX2_AX3_AX5"	0	"C16:1w7"	926	978	1145	1342	29.3	27.5	51.8	1.091	963.7494745
"83"	36649	"BV20_09_1"	"AX"	"AX1_AX2_AX3_AX5"	0	"C18:0"	1243	61	71	83	15	11.2	31.7	1.084	46.75205405
"84"	36649	"BV20_09_1"	"AX"	"AX1_AX2_AX3_AX5"	0	"C19:0"	1442	1792	2046	2462	19.6	16.9	37.7	1.074	1799.97118
"85"	36649	"BV20_09_1"	"AX"	"AX1_AX2_AX3_AX5"	0	"C18:3w6_3"	1482	94	109	130	19.6	16.9	37.7	1.078	75.59817718
"86"	36650	"BV20_09_5"	"DPS"	"DPS1_DPS2_DPS3_DPS5"	0	"C14:0"	646	328	384	448	18.8	15.8	36	1.085	314.1192372
"87"	36650	"BV20_09_5"	"DPS"	"DPS1_DPS2_DPS3_DPS5"	0	"C16:0"	889	1563	1816	2143	15.9	11.9	33.4	1.084	1571.476135
"88"	36650	"BV20_09_5"	"DPS"	"DPS1_DPS2_DPS3_DPS5"	0	"C16:1w7"	925	1298	1510	1781	30.5	28.6	53.5	1.085	1287.501688
"89"	36650	"BV20_09_5"	"DPS"	"DPS1_DPS2_DPS3_DPS5"	0	"C16:3w4"	1072	56	65	77	17.1	13.5	35	1.082	39.54112613
"90"	36650	"BV20_09_5"	"DPS"	"DPS1_DPS2_DPS3_DPS5"	0	"C19:0"	1442	1807	2063	2483	19.5	16.7	37.7	1.074	1815.306243
"91"	36650	"BV20_09_5"	"DPS"	"DPS1_DPS2_DPS3_DPS5"	0	"C18:3w6_3"	1482	115	133	158	19.5	16.7	37.7	1.078	97.02426126
"92"	36651	"BV20_09_9"	"DVM"	"DVM1_DVM2_DVM3_DVM5"	0	"C14:0"	647	185	216	252	20.1	17.2	37.8	1.083	167.5312432
"93"	36651	"BV20_09_9"	"DVM"	"DVM1_DVM2_DVM3_DVM5"	0	"C16:0"	890	959	1116	1317	15.8	11.7	33.3	1.081	958.097955
"94"	36651	"BV20_09_9"	"DVM"	"DVM1_DVM2_DVM3_DVM5"	0	"C16:1w7"	926	531	621	729	27.9	25.5	50	1.084	511.094039
"95"	36651	"BV20_09_9"	"DVM"	"DVM1_DVM2_DVM3_DVM5"	0	"C18:0"	1243	55	64	75	14.5	10.5	31.3	1.078	41.16623123
"96"	36651	"BV20_09_9"	"DVM"	"DVM1_DVM2_DVM3_DVM5"	0	"C19:0"	1442	1816	2073	2495	18.8	15.7	36.8	1.074	1825.154982
"97"	36651	"BV20_09_9"	"DVM"	"DVM1_DVM2_DVM3_DVM5"	0	"C18:3w6_3"	1482	99	113	136	18.8	15.7	36.8	1.072	81.4708979
"133"	36675	"BV20_09_17"	"DPS"	"DPS1"	2	"C14:0"	644	325	2065	448	19.5	15.8	40.2	5.867	327.2166
"134"	36675	"BV20_09_17"	"DPS"	"DPS1"	2	"C16:1w7"	887	1602	11545	2225	17.3	13.5	41.1	6.705	1706.5733
"135"	36675	"BV20_09_17"	"DPS"	"DPS1"	2	"C17:0"	923	1548	12021	2154	31.5	110.2	60.9	7.185	1641.8936
"137"	36675	"BV20_09_17"	"DPS"	"DPS1"	2	"C16:3w4"	1069	82	101	113	18.9	29.4	43.5	1.119	64.0247
"138"	36675	"BV20_09_17"	"DPS"	"DPS1"	2	"C18:1w9"	1240	62	89	85	16.4	18.3	39.6	1.719	46.4433
"140"	36675	"BV20_09_17"	"DPS"	"DPS1"	2	"C19:0"	1440	1943	2214	2668	22	24.6	46.4	1.085	1950.7667
"141"	36675	"BV20_09_17"	"DPS"	"DPS1"	2	"C20:0"	1479	121	345	166	22	24.6	46.4	2.028	102.5632
"143"	36676	"BV20_09_29"	"DPS"	"DPS1"	3	"C14:0"	643	813	7112	1131	20.2	18.7	41.1	7.966	867.006
"144"	36676	"BV20_09_29"	"DPS"	"DPS1"	3	"14:1w5"	651	59	296	81	20.2	18.7	41.1	5.343	41.6928
"145"	36676	"BV20_09_29"	"DPS"	"DPS1"	3	"C16:1w7"	888	3850	36147	5378	18.2	19.9	42.3	8.9	4209.0941
"146"	36676	"BV20_09_29"	"DPS"	"DPS1"	3	"C17:0"	924	3733	37830	5225	18.2	19.9	42.3	9.641	4108.4647
"150"	36676	"BV20_09_29"	"DPS"	"DPS1"	3	"C16:3w4"	1067	215	270	296	22.5	68.6	48.8	1.149	195.2563
"151"	36676	"BV20_09_29"	"DPS"	"DPS1"	3	"C18:1w9"	1240	220	331	302	18.1	36.6	42.1	2.036	205.6245
"153"	36676	"BV20_09_29"	"DPS"	"DPS1"	3	"C19:0"	1440	1747	2027	2399	24	39.6	49.2	1.116	1749.9305
"154"	36676	"BV20_09_29"	"DPS"	"DPS1"	3	"C20:0"	1480	202	1112	279	24	39.6	49.2	3.94	189.4141
"157"	36677	"BV20_09_41"	"DPS"	"DPS1"	4	"C12:0"	490	61	88	89	2.2	1.9	2.1	1.149	59.922
"158"	36677	"BV20_09_41"	"DPS"	"DPS1"	4	"C14:0"	642	608	5122	845	19.8	20.3	40.7	7.659	641.6323
"159"	36677	"BV20_09_41"	"DPS"	"DPS1"	4	"14:1w5"	651	61	268	85	19.8	20.3	40.7	5.167	43.81
"160"	36677	"BV20_09_41"	"DPS"	"DPS1"	4	"C16:1w7"	887	2446	22398	3415	17.4	19.2	41.3	8.631	2662.5192
"161"	36677	"BV20_09_41"	"DPS"	"DPS1"	4	"C17:0"	923	2644	27540	3699	38.1	211.3	70.4	9.59	2890.0837
"164"	36677	"BV20_09_41"	"DPS"	"DPS1"	4	"C16:3w4"	1067	275	362	378	20	50.2	45.1	1.237	259.1177
"165"	36677	"BV20_09_41"	"DPS"	"DPS1"	4	"C18:1w9"	1239	129	212	177	16.7	28.2	40.1	2.055	114.5491
"167"	36677	"BV20_09_41"	"DPS"	"DPS1"	4	"C19:0"	1440	2003	2294	2753	23.5	35.8	48.7	1.091	2010.203
"168"	36677	"BV20_09_41"	"DPS"	"DPS1"	4	"C20:0"	1479	160	825	222	23.5	35.8	48.7	3.313	144.9124
"171"	36678	"BV20_09_18"	"DPS"	"DPS2"	2	"C14:0"	645	311	2309	431	17.3	13.7	37.3	6.73	317.8353
"172"	36678	"BV20_09_18"	"DPS"	"DPS2"	2	"C16:1w7"	888	1514	13966	2112	15.4	12.3	38.6	8.401	1644.3634
"173"	36678	"BV20_09_18"	"DPS"	"DPS2"	2	"C17:0"	924	1322	13976	1851	29.3	135.3	58.2	9.451	1436.4908
"174"	36678	"BV20_09_18"	"DPS"	"DPS2"	2	"C16:3w4"	1070	55	70	75	16.8	32.2	40.8	1.143	38.6807
"175"	36678	"BV20_09_18"	"DPS"	"DPS2"	2	"C18:1w9"	1240	62	96	85	14.9	19.9	37.7	1.998	48.003
