# PLAZA instance : diatoms_01
# File generation timestamp : Wed Apr 22 15:36:27 CEST 2020
#"transcript_id";"gene_id"
"Sro171_g075770.1";"Sro171_g075770"
"Sro171_g075780.1";"Sro171_g075780"
"Sro171_g075790.1";"Sro171_g075790"
"Sro171_g075800.1";"Sro171_g075800"
"Sro171_g075810.1";"Sro171_g075810"
"Sro171_g075820.1";"Sro171_g075820"
"Sro171_g075830.1";"Sro171_g075830"
"Sro171_g075840.1";"Sro171_g075840"
"Sro171_r001040.1";"Sro171_r001040"
"Sro1720_g293470.1";"Sro1720_g293470"
"Sro1720_g293480.1";"Sro1720_g293480"
"Sro1720_g293490.1";"Sro1720_g293490"
"Sro1721_g293500.1";"Sro1721_g293500"
"Sro1721_g293510.1";"Sro1721_g293510"
"Sro1721_g293520.1";"Sro1721_g293520"
"Sro1721_g293530.1";"Sro1721_g293530"
"Sro1721_g293540.1";"Sro1721_g293540"
"Sro1721_g293550.1";"Sro1721_g293550"
"Sro1722_g293560.1";"Sro1722_g293560"
"Sro1722_g293570.1";"Sro1722_g293570"
"Sro1722_g293580.1";"Sro1722_g293580"
"Sro1722_g293590.1";"Sro1722_g293590"
"Sro1722_g293600.1";"Sro1722_g293600"
"Sro1722_g293610.1";"Sro1722_g293610"
"Sro1723_g293620.1";"Sro1723_g293620"
"Sro1723_g293630.1";"Sro1723_g293630"
"Sro1723_g293640.1";"Sro1723_g293640"
"Sro1723_g293650.1";"Sro1723_g293650"
"Sro1724_g293660.1";"Sro1724_g293660"
"Sro1724_g293670.3";"Sro1724_g293670"
"Sro1724_g293680.1";"Sro1724_g293680"
"Sro1724_g293690.1";"Sro1724_g293690"
"Sro1724_g293700.1";"Sro1724_g293700"
"Sro1724_g293710.1";"Sro1724_g293710"
"Sro1724_g293720.1";"Sro1724_g293720"
"Sro1724_g293730.1";"Sro1724_g293730"
"Sro1725_g293740.1";"Sro1725_g293740"
"Sro1725_g293741.1";"Sro1725_g293741"
"Sro1725_g293742.2";"Sro1725_g293742"
"Sro1725_g293743.1";"Sro1725_g293743"
"Sro1725_g293750.1";"Sro1725_g293750"
"Sro1725_g293760.1";"Sro1725_g293760"
"Sro1725_g293770.1";"Sro1725_g293770"
"Sro1725_g293780.1";"Sro1725_g293780"
"Sro1726_g293790.1";"Sro1726_g293790"
"Sro1726_g293800.1";"Sro1726_g293800"
"Sro1726_g293810.1";"Sro1726_g293810"
"Sro1726_g293820.1";"Sro1726_g293820"
"Sro1726_g293830.1";"Sro1726_g293830"
"Sro1726_g293840.1";"Sro1726_g293840"
"Sro1726_g293850.1";"Sro1726_g293850"
"Sro1726_g293860.1";"Sro1726_g293860"
"Sro1727_g293870.1";"Sro1727_g293870"
"Sro1727_g293880.1";"Sro1727_g293880"
"Sro1727_g293890.1";"Sro1727_g293890"
"Sro1727_g293900.1";"Sro1727_g293900"
"Sro1727_g293910.1";"Sro1727_g293910"
"Sro1727_g293920.1";"Sro1727_g293920"
"Sro1727_g293930.1";"Sro1727_g293930"
"Sro1727_g293940.1";"Sro1727_g293940"
"Sro1727_g293950.1";"Sro1727_g293950"
"Sro1727_g293960.1";"Sro1727_g293960"
"Sro1728_g293970.1";"Sro1728_g293970"
"Sro1728_g293980.1";"Sro1728_g293980"
"Sro1728_g293990.1";"Sro1728_g293990"
"Sro1729_g294000.1";"Sro1729_g294000"
"Sro1729_g294010.1";"Sro1729_g294010"
"Sro1729_g294020.1";"Sro1729_g294020"
"Sro1729_g294030.1";"Sro1729_g294030"
"Sro1729_g294040.1";"Sro1729_g294040"
"Sro1729_g294050.1";"Sro1729_g294050"
"Sro1729_g294060.1";"Sro1729_g294060"
"Sro1729_g294070.1";"Sro1729_g294070"
"Sro172_g075850.1";"Sro172_g075850"
"Sro172_g075860.1";"Sro172_g075860"
"Sro172_g075870.1";"Sro172_g075870"
"Sro172_g075880.1";"Sro172_g075880"
"Sro172_g075881.1";"Sro172_g075881"
"Sro172_g075890.1";"Sro172_g075890"
"Sro172_g075900.1";"Sro172_g075900"
"Sro172_g075910.1";"Sro172_g075910"
"Sro172_g075920.1";"Sro172_g075920"
"Sro172_g075921.1";"Sro172_g075921"
"Sro172_g075930.1";"Sro172_g075930"
"Sro172_g075940.1";"Sro172_g075940"
"Sro172_g075950.1";"Sro172_g075950"
"Sro172_g075960.1";"Sro172_g075960"
"Sro172_g075970.1";"Sro172_g075970"
"Sro172_g075980.1";"Sro172_g075980"
"Sro172_g075990.1";"Sro172_g075990"
"Sro172_g076000.1";"Sro172_g076000"
"Sro172_g076010.1";"Sro172_g076010"
"Sro172_g076020.1";"Sro172_g076020"
"Sro172_g076030.1";"Sro172_g076030"
"Sro172_g076040.1";"Sro172_g076040"
"Sro172_g076050.1";"Sro172_g076050"
"Sro172_g076060.1";"Sro172_g076060"
"Sro172_g076070.1";"Sro172_g076070"
"Sro172_g076080.1";"Sro172_g076080"
"Sro172_g076090.1";"Sro172_g076090"
"Sro172_g076100.1";"Sro172_g076100"
"Sro172_g076110.1";"Sro172_g076110"
"Sro172_g076120.1";"Sro172_g076120"
"Sro172_g076130.1";"Sro172_g076130"
"Sro172_r001050.1";"Sro172_r001050"
"Sro1730_g294080.1";"Sro1730_g294080"
"Sro1730_g294090.1";"Sro1730_g294090"
"Sro1730_g294100.1";"Sro1730_g294100"
"Sro1730_g294110.1";"Sro1730_g294110"
"Sro1730_g294120.1";"Sro1730_g294120"
"Sro1730_g294130.1";"Sro1730_g294130"
"Sro1731_g294140.1";"Sro1731_g294140"
"Sro1732_g294141.2";"Sro1732_g294141"
"Sro1732_g294150.1";"Sro1732_g294150"
"Sro1732_g294160.1";"Sro1732_g294160"
"Sro1732_g294170.1";"Sro1732_g294170"
"Sro1732_g294180.1";"Sro1732_g294180"
"Sro1732_g294190.1";"Sro1732_g294190"
"Sro1733_g294200.1";"Sro1733_g294200"
"Sro1733_g294210.1";"Sro1733_g294210"
"Sro1733_g294220.1";"Sro1733_g294220"
"Sro1733_g294230.1";"Sro1733_g294230"
"Sro1733_g294240.1";"Sro1733_g294240"
"Sro1733_g294250.1";"Sro1733_g294250"
"Sro1733_g294260.1";"Sro1733_g294260"
"Sro1733_g294270.1";"Sro1733_g294270"
"Sro1733_r003660.1";"Sro1733_r003660"
"Sro1734_g294280.1";"Sro1734_g294280"
"Sro1734_g294290.1";"Sro1734_g294290"
"Sro1734_g294300.1";"Sro1734_g294300"
"Sro1734_g294310.1";"Sro1734_g294310"
"Sro1734_g294320.1";"Sro1734_g294320"
"Sro1735_g294330.1";"Sro1735_g294330"
"Sro1735_g294340.1";"Sro1735_g294340"
"Sro1735_g294350.1";"Sro1735_g294350"
"Sro1735_g294360.1";"Sro1735_g294360"
"Sro1736_g294361.1";"Sro1736_g294361"
"Sro1736_g294370.1";"Sro1736_g294370"
"Sro1736_g294380.1";"Sro1736_g294380"
"Sro1736_g294390.1";"Sro1736_g294390"
"Sro1736_g294400.1";"Sro1736_g294400"
"Sro1736_g294410.1";"Sro1736_g294410"
"Sro1737_g294420.1";"Sro1737_g294420"
"Sro1737_g294430.1";"Sro1737_g294430"
"Sro1737_g294440.1";"Sro1737_g294440"
"Sro1737_g294450.1";"Sro1737_g294450"
"Sro1737_g294460.1";"Sro1737_g294460"
"Sro1737_g294470.1";"Sro1737_g294470"
"Sro1737_g294480.1";"Sro1737_g294480"
"Sro1737_g294490.1";"Sro1737_g294490"
"Sro1738_g294500.1";"Sro1738_g294500"
"Sro1738_g294510.1";"Sro1738_g294510"
"Sro1738_g294520.1";"Sro1738_g294520"
"Sro1738_g294530.1";"Sro1738_g294530"
"Sro1738_g294531.1";"Sro1738_g294531"
"Sro1738_g294540.1";"Sro1738_g294540"
"Sro1738_g294550.1";"Sro1738_g294550"
"Sro1738_g294560.1";"Sro1738_g294560"
"Sro1738_g294570.1";"Sro1738_g294570"
"Sro1739_g294580.1";"Sro1739_g294580"
"Sro1739_g294590.1";"Sro1739_g294590"
"Sro173_g076140.1";"Sro173_g076140"
"Sro173_g076150.1";"Sro173_g076150"
"Sro173_g076160.1";"Sro173_g076160"
"Sro173_g076170.1";"Sro173_g076170"
"Sro173_g076180.1";"Sro173_g076180"
"Sro173_g076190.1";"Sro173_g076190"
"Sro173_g076200.1";"Sro173_g076200"
"Sro173_g076210.1";"Sro173_g076210"
"Sro173_g076220.1";"Sro173_g076220"
"Sro173_g076230.1";"Sro173_g076230"
"Sro173_g076240.1";"Sro173_g076240"
"Sro173_g076250.1";"Sro173_g076250"
"Sro173_g076260.1";"Sro173_g076260"
"Sro173_g076270.1";"Sro173_g076270"
"Sro173_g076280.1";"Sro173_g076280"
"Sro173_g076290.1";"Sro173_g076290"
"Sro173_g076300.1";"Sro173_g076300"
"Sro173_g076310.1";"Sro173_g076310"
"Sro173_g076320.1";"Sro173_g076320"
"Sro173_g076330.1";"Sro173_g076330"
"Sro173_g076340.1";"Sro173_g076340"
"Sro173_g076350.1";"Sro173_g076350"
"Sro173_g076360.1";"Sro173_g076360"
"Sro173_g076370.1";"Sro173_g076370"
"Sro173_g076380.1";"Sro173_g076380"
"Sro173_g076390.1";"Sro173_g076390"
"Sro173_g076400.1";"Sro173_g076400"
"Sro173_g076410.1";"Sro173_g076410"
"Sro173_g076420.1";"Sro173_g076420"
"Sro173_g076430.1";"Sro173_g076430"
"Sro173_g076440.1";"Sro173_g076440"
"Sro173_g076450.1";"Sro173_g076450"
"Sro173_g076451.1";"Sro173_g076451"
"Sro173_g076452.1";"Sro173_g076452"
"Sro173_g076460.1";"Sro173_g076460"
"Sro173_r001060.1";"Sro173_r001060"
"Sro173_r001070.1";"Sro173_r001070"
"Sro1740_g294600.1";"Sro1740_g294600"
"Sro1741_g294610.1";"Sro1741_g294610"
"Sro1741_g294620.1";"Sro1741_g294620"
"Sro1741_g294630.1";"Sro1741_g294630"
"Sro1741_g294640.1";"Sro1741_g294640"
"Sro1741_g294650.1";"Sro1741_g294650"
"Sro1741_g294660.1";"Sro1741_g294660"
"Sro1741_g294670.1";"Sro1741_g294670"
"Sro1741_g294680.1";"Sro1741_g294680"
"Sro1741_g294690.1";"Sro1741_g294690"
"Sro1741_g294700.1";"Sro1741_g294700"
"Sro1742_g294710.1";"Sro1742_g294710"
"Sro1742_g294720.1";"Sro1742_g294720"
"Sro1742_g294730.1";"Sro1742_g294730"
"Sro1742_g294740.1";"Sro1742_g294740"
"Sro1742_g294750.1";"Sro1742_g294750"
"Sro1743_g294760.1";"Sro1743_g294760"
"Sro1743_g294770.1";"Sro1743_g294770"
"Sro1743_g294780.1";"Sro1743_g294780"
"Sro1743_g294790.1";"Sro1743_g294790"
"Sro1743_g294800.1";"Sro1743_g294800"
"Sro1743_g294810.1";"Sro1743_g294810"
"Sro1743_g294820.1";"Sro1743_g294820"
"Sro1743_g294830.1";"Sro1743_g294830"
"Sro1744_g294840.1";"Sro1744_g294840"
"Sro1744_g294860.1";"Sro1744_g294860"
"Sro1744_g294870.1";"Sro1744_g294870"
"Sro1744_g294880.1";"Sro1744_g294880"
"Sro1744_g294890.1";"Sro1744_g294890"
"Sro1744_g294900.1";"Sro1744_g294900"
"Sro1745_g294910.1";"Sro1745_g294910"
"Sro1745_g294920.1";"Sro1745_g294920"
"Sro1745_g294930.1";"Sro1745_g294930"
"Sro1746_g294940.1";"Sro1746_g294940"
"Sro1746_g294950.1";"Sro1746_g294950"
"Sro1746_g294960.1";"Sro1746_g294960"
"Sro1746_g294970.1";"Sro1746_g294970"
"Sro1746_g294980.1";"Sro1746_g294980"
"Sro1746_g294990.1";"Sro1746_g294990"
"Sro1746_g295000.1";"Sro1746_g295000"
"Sro1747_g295010.1";"Sro1747_g295010"
"Sro1747_g295020.1";"Sro1747_g295020"
"Sro1747_g295030.1";"Sro1747_g295030"
"Sro1747_g295040.1";"Sro1747_g295040"
"Sro1747_g295050.1";"Sro1747_g295050"
"Sro1747_g295060.1";"Sro1747_g295060"
"Sro1747_g295070.1";"Sro1747_g295070"
"Sro1747_g295080.1";"Sro1747_g295080"
"Sro1748_g295090.1";"Sro1748_g295090"
"Sro1748_g295100.1";"Sro1748_g295100"
"Sro1748_g295110.1";"Sro1748_g295110"
"Sro1748_g295120.1";"Sro1748_g295120"
"Sro1748_g295130.1";"Sro1748_g295130"
"Sro1748_g295140.1";"Sro1748_g295140"
"Sro1748_g295150.1";"Sro1748_g295150"
"Sro1748_g295160.1";"Sro1748_g295160"
"Sro1748_g295170.1";"Sro1748_g295170"
"Sro1748_g295180.1";"Sro1748_g295180"
"Sro1749_g295190.1";"Sro1749_g295190"
"Sro1749_g295200.1";"Sro1749_g295200"
"Sro174_g076470.1";"Sro174_g076470"
"Sro174_g076480.1";"Sro174_g076480"
"Sro174_g076490.1";"Sro174_g076490"
"Sro174_g076500.1";"Sro174_g076500"
"Sro174_g076510.1";"Sro174_g076510"
"Sro174_g076520.1";"Sro174_g076520"
"Sro174_g076530.1";"Sro174_g076530"
"Sro174_g076540.1";"Sro174_g076540"
"Sro174_g076550.1";"Sro174_g076550"
"Sro174_g076560.1";"Sro174_g076560"
"Sro174_g076570.1";"Sro174_g076570"
"Sro174_g076580.1";"Sro174_g076580"
"Sro174_g076590.1";"Sro174_g076590"
"Sro174_g076600.1";"Sro174_g076600"
"Sro174_g076610.1";"Sro174_g076610"
"Sro174_g076611.1";"Sro174_g076611"
"Sro174_g076620.1";"Sro174_g076620"
"Sro174_g076630.1";"Sro174_g076630"
"Sro174_g076640.1";"Sro174_g076640"
"Sro174_g076650.1";"Sro174_g076650"
"Sro174_g076660.1";"Sro174_g076660"
"Sro174_g076670.1";"Sro174_g076670"
"Sro174_g076680.1";"Sro174_g076680"
"Sro174_g076690.1";"Sro174_g076690"
"Sro174_g076700.1";"Sro174_g076700"
"Sro174_g076710.1";"Sro174_g076710"
"Sro174_g076720.1";"Sro174_g076720"
"Sro174_g076730.3";"Sro174_g076730"
"Sro174_g076740.1";"Sro174_g076740"
"Sro174_g076750.1";"Sro174_g076750"
"Sro174_g076760.1";"Sro174_g076760"
"Sro174_g076770.1";"Sro174_g076770"
"Sro174_g076780.1";"Sro174_g076780"
"Sro174_g076790.1";"Sro174_g076790"
"Sro174_g076800.1";"Sro174_g076800"
"Sro174_g076810.1";"Sro174_g076810"
"Sro174_g076820.1";"Sro174_g076820"
"Sro174_g076830.1";"Sro174_g076830"
"Sro174_g076840.1";"Sro174_g076840"
"Sro174_g076850.1";"Sro174_g076850"
"Sro174_g076860.1";"Sro174_g076860"
"Sro174_r001080.1";"Sro174_r001080"
"Sro1750_g295210.1";"Sro1750_g295210"
"Sro1750_g295220.1";"Sro1750_g295220"
"Sro1750_g295230.1";"Sro1750_g295230"
"Sro1750_g295240.1";"Sro1750_g295240"
"Sro1751_g295250.1";"Sro1751_g295250"
"Sro1751_g295260.1";"Sro1751_g295260"
"Sro1751_g295270.1";"Sro1751_g295270"
"Sro1751_g295280.1";"Sro1751_g295280"
"Sro1751_g295290.1";"Sro1751_g295290"
"Sro1751_g295300.1";"Sro1751_g295300"
"Sro1751_g295310.1";"Sro1751_g295310"
"Sro1752_g295320.1";"Sro1752_g295320"
"Sro1752_g295330.1";"Sro1752_g295330"
"Sro1752_g295340.1";"Sro1752_g295340"
"Sro1752_g295350.1";"Sro1752_g295350"
"Sro1752_g295351.1";"Sro1752_g295351"
"Sro1752_g295360.1";"Sro1752_g295360"
"Sro1752_g295370.1";"Sro1752_g295370"
"Sro1752_r003670.1";"Sro1752_r003670"
"Sro1753_g295380.1";"Sro1753_g295380"
"Sro1753_g295390.1";"Sro1753_g295390"
"Sro1753_g295400.1";"Sro1753_g295400"
"Sro1753_g295410.1";"Sro1753_g295410"
"Sro1753_g295420.1";"Sro1753_g295420"
"Sro1753_g295430.1";"Sro1753_g295430"
"Sro1753_g295440.1";"Sro1753_g295440"
"Sro1754_g295450.1";"Sro1754_g295450"
"Sro1754_g295460.1";"Sro1754_g295460"
"Sro1754_g295470.1";"Sro1754_g295470"
"Sro1755_g295480.1";"Sro1755_g295480"
"Sro1755_g295490.1";"Sro1755_g295490"
"Sro1755_g295500.1";"Sro1755_g295500"
"Sro1755_g295510.1";"Sro1755_g295510"
"Sro1755_g295520.1";"Sro1755_g295520"
"Sro1755_g295530.1";"Sro1755_g295530"
"Sro1755_g295540.1";"Sro1755_g295540"
"Sro1755_g295550.1";"Sro1755_g295550"
"Sro1755_g295560.1";"Sro1755_g295560"
"Sro1755_g295570.1";"Sro1755_g295570"
"Sro1756_g295580.1";"Sro1756_g295580"
"Sro1756_g295590.1";"Sro1756_g295590"
"Sro1756_g295600.1";"Sro1756_g295600"
"Sro1756_g295610.1";"Sro1756_g295610"
"Sro1756_g295620.1";"Sro1756_g295620"
"Sro1756_g295630.1";"Sro1756_g295630"
"Sro1756_g295640.1";"Sro1756_g295640"
"Sro1756_g295650.1";"Sro1756_g295650"
"Sro1756_g295660.1";"Sro1756_g295660"
"Sro1756_r003680.1";"Sro1756_r003680"
"Sro1757_g295670.1";"Sro1757_g295670"
"Sro1757_g295680.1";"Sro1757_g295680"
"Sro1758_g295690.1";"Sro1758_g295690"
"Sro1758_g295700.1";"Sro1758_g295700"
"Sro1758_g295710.1";"Sro1758_g295710"
"Sro1758_g295720.1";"Sro1758_g295720"
"Sro1758_g295730.1";"Sro1758_g295730"
"Sro1758_g295740.1";"Sro1758_g295740"
"Sro1758_g295750.1";"Sro1758_g295750"
"Sro1758_g295760.1";"Sro1758_g295760"
"Sro1758_g295770.1";"Sro1758_g295770"
"Sro1759_g295780.1";"Sro1759_g295780"
"Sro1759_g295790.1";"Sro1759_g295790"
"Sro1759_g295800.1";"Sro1759_g295800"
"Sro1759_g295810.1";"Sro1759_g295810"
"Sro1759_g295820.1";"Sro1759_g295820"
"Sro175_g076870.1";"Sro175_g076870"
"Sro175_g076880.1";"Sro175_g076880"
"Sro175_g076890.1";"Sro175_g076890"
"Sro175_g076900.1";"Sro175_g076900"
"Sro175_g076910.1";"Sro175_g076910"
"Sro175_g076920.1";"Sro175_g076920"
"Sro175_g076930.1";"Sro175_g076930"
"Sro175_g076940.1";"Sro175_g076940"
"Sro175_g076950.1";"Sro175_g076950"
"Sro175_g076960.1";"Sro175_g076960"
"Sro175_g076970.1";"Sro175_g076970"
"Sro175_g076980.1";"Sro175_g076980"
"Sro175_g076990.1";"Sro175_g076990"
"Sro175_g077000.1";"Sro175_g077000"
"Sro175_g077010.1";"Sro175_g077010"
"Sro175_g077020.1";"Sro175_g077020"
"Sro175_g077030.1";"Sro175_g077030"
"Sro175_g077040.1";"Sro175_g077040"
"Sro175_g077050.1";"Sro175_g077050"
"Sro175_g077060.1";"Sro175_g077060"
"Sro175_g077070.1";"Sro175_g077070"
"Sro175_g077080.1";"Sro175_g077080"
"Sro175_g077100.1";"Sro175_g077100"
"Sro175_g077110.1";"Sro175_g077110"
"Sro175_g077120.1";"Sro175_g077120"
"Sro175_g077130.1";"Sro175_g077130"
"Sro175_g077140.2";"Sro175_g077140"
"Sro175_g077150.1";"Sro175_g077150"
"Sro175_g077160.1";"Sro175_g077160"
"Sro175_g077170.1";"Sro175_g077170"
"Sro1760_g295830.1";"Sro1760_g295830"
"Sro1760_g295840.1";"Sro1760_g295840"
"Sro1760_g295850.2";"Sro1760_g295850"
"Sro1760_g295860.1";"Sro1760_g295860"
"Sro1760_g295870.1";"Sro1760_g295870"
"Sro1760_g295880.1";"Sro1760_g295880"
"Sro1760_g295890.1";"Sro1760_g295890"
"Sro1761_g295900.1";"Sro1761_g295900"
"Sro1761_g295910.1";"Sro1761_g295910"
"Sro1761_g295920.1";"Sro1761_g295920"
"Sro1761_g295930.1";"Sro1761_g295930"
"Sro1761_g295940.1";"Sro1761_g295940"
"Sro1762_g295950.1";"Sro1762_g295950"
"Sro1762_g295960.1";"Sro1762_g295960"
"Sro1762_g295961.1";"Sro1762_g295961"
"Sro1762_g295970.1";"Sro1762_g295970"
"Sro1762_g295980.1";"Sro1762_g295980"
"Sro1763_g295990.1";"Sro1763_g295990"
"Sro1763_g296000.1";"Sro1763_g296000"
"Sro1763_g296010.1";"Sro1763_g296010"
"Sro1763_g296020.1";"Sro1763_g296020"
"Sro1763_g296030.1";"Sro1763_g296030"
"Sro1764_g296040.1";"Sro1764_g296040"
"Sro1764_g296050.1";"Sro1764_g296050"
"Sro1764_g296060.1";"Sro1764_g296060"
"Sro1764_g296070.1";"Sro1764_g296070"
"Sro1764_g296080.1";"Sro1764_g296080"
"Sro1764_g296090.1";"Sro1764_g296090"
"Sro1764_g296100.1";"Sro1764_g296100"
"Sro1764_g296110.1";"Sro1764_g296110"
"Sro1765_g296130.1";"Sro1765_g296130"
"Sro1765_g296140.2";"Sro1765_g296140"
"Sro1765_g296150.1";"Sro1765_g296150"
"Sro1765_g296160.1";"Sro1765_g296160"
"Sro1765_g296170.1";"Sro1765_g296170"
"Sro1765_g296180.1";"Sro1765_g296180"
"Sro1765_g296190.1";"Sro1765_g296190"
"Sro1765_g296200.1";"Sro1765_g296200"
"Sro1766_g296210.1";"Sro1766_g296210"
"Sro1766_g296220.1";"Sro1766_g296220"
"Sro1766_g296230.1";"Sro1766_g296230"
"Sro1766_g296240.1";"Sro1766_g296240"
"Sro1766_g296250.1";"Sro1766_g296250"
"Sro1767_g296260.1";"Sro1767_g296260"
"Sro1767_g296270.1";"Sro1767_g296270"
"Sro1767_g296280.1";"Sro1767_g296280"
"Sro1767_g296290.1";"Sro1767_g296290"
"Sro1767_g296300.1";"Sro1767_g296300"
"Sro1767_g296310.1";"Sro1767_g296310"
"Sro1767_g296320.1";"Sro1767_g296320"
"Sro1767_g296330.1";"Sro1767_g296330"
"Sro1768_g296340.1";"Sro1768_g296340"
"Sro1768_g296341.1";"Sro1768_g296341"
"Sro1768_g296350.1";"Sro1768_g296350"
"Sro1768_g296360.1";"Sro1768_g296360"
"Sro1768_g296370.1";"Sro1768_g296370"
"Sro1768_g296380.1";"Sro1768_g296380"
"Sro1768_g296390.1";"Sro1768_g296390"
"Sro1768_g296400.1";"Sro1768_g296400"
"Sro1769_g296410.1";"Sro1769_g296410"
"Sro1769_g296420.1";"Sro1769_g296420"
"Sro1769_g296430.1";"Sro1769_g296430"
"Sro1769_g296440.1";"Sro1769_g296440"
"Sro1769_g296450.1";"Sro1769_g296450"
"Sro1769_g296460.1";"Sro1769_g296460"
"Sro1769_g296470.1";"Sro1769_g296470"
"Sro1769_g296480.1";"Sro1769_g296480"
"Sro1769_g296490.1";"Sro1769_g296490"
"Sro1769_g296500.1";"Sro1769_g296500"
"Sro1769_g296510.1";"Sro1769_g296510"
"Sro176_g077180.1";"Sro176_g077180"
"Sro176_g077190.1";"Sro176_g077190"
"Sro176_g077200.1";"Sro176_g077200"
"Sro176_g077210.1";"Sro176_g077210"
"Sro176_g077220.1";"Sro176_g077220"
"Sro176_g077230.1";"Sro176_g077230"
"Sro176_g077240.1";"Sro176_g077240"
"Sro176_g077250.1";"Sro176_g077250"
"Sro176_g077260.1";"Sro176_g077260"
"Sro176_g077270.1";"Sro176_g077270"
"Sro176_g077280.1";"Sro176_g077280"
"Sro176_g077290.1";"Sro176_g077290"
"Sro176_g077300.1";"Sro176_g077300"
"Sro176_g077310.1";"Sro176_g077310"
"Sro176_g077320.1";"Sro176_g077320"
"Sro176_g077330.1";"Sro176_g077330"
"Sro176_g077340.1";"Sro176_g077340"
"Sro176_g077350.1";"Sro176_g077350"
"Sro176_g077360.1";"Sro176_g077360"
"Sro176_g077370.1";"Sro176_g077370"
"Sro176_g077380.1";"Sro176_g077380"
"Sro176_g077390.1";"Sro176_g077390"
"Sro176_g077400.1";"Sro176_g077400"
"Sro176_g077410.1";"Sro176_g077410"
"Sro176_g077420.1";"Sro176_g077420"
"Sro176_g077430.1";"Sro176_g077430"
"Sro176_g077440.2";"Sro176_g077440"
"Sro176_g077450.1";"Sro176_g077450"
"Sro176_g077460.1";"Sro176_g077460"
"Sro176_g077470.1";"Sro176_g077470"
"Sro176_g077480.1";"Sro176_g077480"
"Sro176_g077490.1";"Sro176_g077490"
"Sro176_g077500.1";"Sro176_g077500"
"Sro176_g077510.1";"Sro176_g077510"
"Sro176_g077520.1";"Sro176_g077520"
"Sro176_g077530.1";"Sro176_g077530"
"Sro176_g077540.1";"Sro176_g077540"
"Sro176_g077550.1";"Sro176_g077550"
"Sro176_g077560.1";"Sro176_g077560"
"Sro176_g077570.1";"Sro176_g077570"
"Sro176_g077580.1";"Sro176_g077580"
"Sro176_g077590.1";"Sro176_g077590"
"Sro176_g077600.1";"Sro176_g077600"
"Sro176_r001090.1";"Sro176_r001090"
"Sro1770_g296520.1";"Sro1770_g296520"
"Sro1770_g296530.1";"Sro1770_g296530"
"Sro1770_g296540.1";"Sro1770_g296540"
"Sro1770_g296550.1";"Sro1770_g296550"
"Sro1770_g296560.1";"Sro1770_g296560"
"Sro1770_g296570.1";"Sro1770_g296570"
"Sro1770_g296580.1";"Sro1770_g296580"
"Sro1771_g296590.1";"Sro1771_g296590"
"Sro1771_g296600.1";"Sro1771_g296600"
"Sro1771_g296610.1";"Sro1771_g296610"
"Sro1771_g296620.1";"Sro1771_g296620"
"Sro1771_g296630.1";"Sro1771_g296630"
"Sro1771_g296640.1";"Sro1771_g296640"
"Sro1771_g296650.1";"Sro1771_g296650"
"Sro1771_g296660.1";"Sro1771_g296660"
"Sro1771_g296661.1";"Sro1771_g296661"
"Sro1772_g296670.1";"Sro1772_g296670"
"Sro1772_g296680.1";"Sro1772_g296680"
"Sro1772_g296690.1";"Sro1772_g296690"
"Sro1772_g296700.1";"Sro1772_g296700"
"Sro1772_g296710.1";"Sro1772_g296710"
"Sro1772_g296720.1";"Sro1772_g296720"
"Sro1772_g296730.1";"Sro1772_g296730"
"Sro1773_g296740.1";"Sro1773_g296740"
"Sro1774_g296750.1";"Sro1774_g296750"
"Sro1774_g296760.1";"Sro1774_g296760"
"Sro1774_g296770.1";"Sro1774_g296770"
"Sro1774_g296780.1";"Sro1774_g296780"
"Sro1774_g296790.1";"Sro1774_g296790"
"Sro1774_g296800.1";"Sro1774_g296800"
"Sro1774_g296810.1";"Sro1774_g296810"
"Sro1775_g296820.1";"Sro1775_g296820"
"Sro1775_g296830.1";"Sro1775_g296830"
"Sro1775_g296840.1";"Sro1775_g296840"
"Sro1775_g296850.1";"Sro1775_g296850"
"Sro1775_g296860.1";"Sro1775_g296860"
"Sro1775_g296870.1";"Sro1775_g296870"
"Sro1775_g296880.1";"Sro1775_g296880"
"Sro1775_g296890.1";"Sro1775_g296890"
"Sro1776_g296900.1";"Sro1776_g296900"
"Sro1777_g296910.1";"Sro1777_g296910"
"Sro1777_g296920.1";"Sro1777_g296920"
"Sro1777_g296930.1";"Sro1777_g296930"
"Sro1777_g296940.1";"Sro1777_g296940"
"Sro1777_g296950.1";"Sro1777_g296950"
"Sro1778_g296960.1";"Sro1778_g296960"
"Sro1778_g296970.1";"Sro1778_g296970"
"Sro1778_g296980.1";"Sro1778_g296980"
"Sro1778_g296990.1";"Sro1778_g296990"
"Sro1778_g297000.1";"Sro1778_g297000"
"Sro1779_g297010.1";"Sro1779_g297010"
"Sro177_g077610.1";"Sro177_g077610"
"Sro177_g077620.1";"Sro177_g077620"
"Sro177_g077630.1";"Sro177_g077630"
"Sro177_g077640.1";"Sro177_g077640"
"Sro177_g077650.1";"Sro177_g077650"
"Sro177_g077660.1";"Sro177_g077660"
"Sro177_g077670.1";"Sro177_g077670"
"Sro177_g077680.1";"Sro177_g077680"
"Sro177_g077690.1";"Sro177_g077690"
"Sro177_g077700.1";"Sro177_g077700"
"Sro177_g077710.1";"Sro177_g077710"
"Sro177_g077720.1";"Sro177_g077720"
"Sro177_g077730.1";"Sro177_g077730"
"Sro177_g077740.1";"Sro177_g077740"
